task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
detect_data_tampering/main,1,2,0.8874010849072529,24.471,40.37848688585189,24.471,HCAST,baseline,1.6500546314352456
env_scientist/level1,2,1,0.8874010849072529,43.72599999999997,239.34362640111152,43.726,HCAST,baseline,5.473714183806241
env_scientist/level2,3,0,0.8874010849072529,46.44300000000005,46.443000000000026,46.443,HCAST,baseline,0.9999999999999996
env_scientist/level3,1,1,0.8874010849072529,90.45700000000001,170.55836219854618,90.457,HCAST,baseline,1.8855186685225704
env_scientist/level4,2,1,0.8874010849072529,247.8340000000001,267.1645879912094,247.834,HCAST,baseline,1.0779981277436077
env_scientist/level5,2,1,0.8874010849072529,58.73799999999999,89.6034591889957,58.738,HCAST,baseline,1.525476849552176
env_scientist/level6,2,1,0.8874010849072529,171.41200000000003,291.41847538340534,171.412,HCAST,baseline,1.700105449930024
env_scientist/level7,0,4,0.8874010849072529,,,665.0,HCAST,estimate,
env_scientist/level8,1,3,0.8874010849072529,403.472,751.69082277535,403.472,HCAST,baseline,1.863055733174421
env_scientist/level9,0,3,0.8874010849072529,,,180.0,HCAST,estimate,
esolang/broccoli_collatz,3,1,0.8874010849072529,18.45599999999999,33.92896670129326,18.456,HCAST,baseline,1.8383705408156308
esolang/broccoli_fibonacci,2,2,0.8874010849072529,22.000000000000004,31.05840336780667,22.0,HCAST,baseline,1.4117456076275756
file_recovery/default,3,1,0.8874010849072529,345.61700000000036,433.69140750615423,345.617,HCAST,baseline,1.2548323939683343
file_selection/find_cache_file,4,0,0.2340889014647025,0.05831785591733623,0.0583178559173362,0.058320992,SWAA,baseline,0.9999999999999996
file_selection/find_config_file,4,0,0.2307578931547695,0.04709835453952801,0.04709835453952799,0.0470904651,SWAA,baseline,0.9999999999999996
file_selection/find_css_file,4,0,0.3378869249522943,0.052568435238970285,0.052568435238970264,0.0525742238,SWAA,baseline,0.9999999999999996
file_selection/find_docker_file,4,0,0.3555684544224837,0.06863431124615976,0.06863431124615976,0.0686250355,SWAA,baseline,1.0
file_selection/find_env_file,4,0,0.3251486131407491,0.054077017823565984,0.054077017823565984,0.0540778269,SWAA,baseline,1.0
file_selection/find_image,4,0,0.3084860544796825,0.04247928243591426,0.04247928243591426,0.042480995800000004,SWAA,baseline,1.0
file_selection/find_json_data,4,0,0.2480904008575479,0.03754130477946995,0.03754130477946995,0.0375325306,SWAA,baseline,1.0
file_selection/find_log_file,4,0,0.2951811401641505,0.06381521152005606,0.06381521152005604,0.06381387420000001,SWAA,baseline,0.9999999999999996
file_selection/find_main_file,4,0,0.3348617443256756,0.061192157194865766,0.061192157194865766,0.061190799000000004,SWAA,baseline,1.0
file_selection/find_password_file,4,0,0.2233355034858784,0.05519135499135,0.05519135499135,0.055194829200000003,SWAA,baseline,1.0
file_selection/find_readme,3,1,0.6547402137565635,0.06472554811354467,0.08391868679196378,0.0647069487,SWAA,baseline,1.29653111078719
file_selection/find_requirements_file,4,0,0.5042350202413737,0.05934791593611593,0.05934791593611593,0.059336352200000005,SWAA,baseline,1.0
file_selection/find_shell_script,4,0,0.2080277418438733,0.04339958976967887,0.04339958976967887,0.0433995898,SWAA,baseline,1.0
file_selection/identify_binary_file,3,1,0.2730971535730899,0.08071714510321301,0.0847955952463465,0.0807100659,SWAA,baseline,1.0505276808033581
file_selection/identify_dependency_file,4,0,0.3425434224063738,0.067826808569904,0.06782680856990403,0.0678231713,SWAA,baseline,1.0000000000000004
file_selection/identify_executable,4,0,0.2200256379586142,0.042842489438341874,0.042842489438341895,0.0428509189,SWAA,baseline,1.0000000000000004
file_selection/identify_git_ignore,4,0,0.2404608727454965,0.04415580863827403,0.04415580863827405,0.0441631174,SWAA,baseline,1.0000000000000004
file_selection/identify_python_file,4,0,0.2188987498161006,0.09470706504731848,0.09470706504731848,0.0947065336,SWAA,baseline,1.0
file_selection/identify_python_package,4,0,0.2356141578353953,0.0807518350729196,0.0807518350729196,0.0807477373,SWAA,baseline,1.0
file_selection/identify_test_file,4,0,0.2971706699077044,0.06780630679496172,0.06780630679496172,0.0678048301,SWAA,baseline,1.0
hackthebox/the-last-dance,1,0,0.8874010849072529,6.684000000000018,6.684000000000018,6.684,HCAST,baseline,1.0
hash_collision/md4_modified,0,3,0.8874010849072529,,,240.0,HCAST,estimate,
hypothesis_testing/mystery_function_1,2,0,0.8874010849072529,9.006999999999998,9.006999999999998,9.007,HCAST,baseline,1.0
hypothesis_testing/mystery_function_2,2,1,0.8874010849072529,14.499000000000015,20.91195493848856,14.499,HCAST,baseline,1.442303258051489
hypothesis_testing/mystery_function_4,3,0,0.8874010849072529,10.153000000000022,10.153000000000027,10.153,HCAST,baseline,1.0000000000000004
hypothesis_testing/mystery_function_5,3,1,0.8874010849072529,27.768999999999984,35.38272193194015,27.769,HCAST,baseline,1.2741806306291248
hypothesis_testing/mystery_function_6,2,1,0.8874010849072529,49.354000000000035,56.64223582927226,49.354,HCAST,baseline,1.1476726471871017
hypothesis_testing/mystery_function_8,3,0,0.8874010849072529,14.773,14.773,14.773,HCAST,baseline,1.0
iclr_authors/notable-top-25,2,3,0.8874010849072529,1111.887,1248.9637379966034,1111.887,HCAST,baseline,1.1232829756950153
iclr_authors/notable-top-5,2,3,0.8874010849072529,391.3859999999999,1201.2549316672853,391.386,HCAST,baseline,3.0692332675856715
iclr_authors/poster,1,3,0.8874010849072529,521.5250000000001,1014.0005446543419,521.525,HCAST,baseline,1.9442990166422351
image_labeling/layered_squares,2,1,0.8874010849072529,87.30599999999993,185.07155428183202,87.306,HCAST,baseline,2.1198033844390096
image_labeling/spiral_angle,1,2,0.8874010849072529,146.547,293.7464895789502,146.547,HCAST,baseline,2.0044524253580778
interpret_building_data/eiffel_tower_progress,4,0,0.8874010849072529,16.657999999999998,16.657999999999998,16.658,HCAST,baseline,1.0
interpret_building_data/tallest_1972,3,1,0.8874010849072529,3.112999999999999,3.4352823555960863,3.113,HCAST,baseline,1.1035279009303203
interpret_data/ecommerce_biggest_order,2,0,0.8874010849072529,12.434999999999999,12.434999999999999,12.435,HCAST,baseline,1.0
interpret_data/ecommerce_popular_products,3,0,0.8874010849072529,13.732999999999999,13.732999999999999,13.733,HCAST,baseline,1.0
interpret_data/ecommerce_spent_most,3,0,0.8874010849072529,12.810000000000002,12.810000000000002,12.81,HCAST,baseline,1.0
local_research/atari_epochs,2,0,0.8874010849072529,1.784000000000119,1.784000000000119,1.784,HCAST,baseline,1.0
local_research/which_does_worse,1,1,0.8874010849072529,4.0910000000000135,20.34494692231011,4.091,HCAST,baseline,4.973098734370581
local_research_tex/33b_better_than_65b,3,0,0.8874010849072529,12.111000000000008,12.111000000000013,12.111,HCAST,baseline,1.0000000000000004
local_research_tex/ar_report,2,0,0.8874010849072529,15.985999999999994,15.986,15.986,HCAST,baseline,1.0000000000000004
local_research_tex/more_bias,1,0,0.8874010849072529,7.571000000000011,7.571000000000011,7.571,HCAST,baseline,1.0
make_web_server/hello,3,0,0.8874010849072529,14.737000000000021,14.737000000000021,14.737,HCAST,baseline,1.0
molecule_structure/1,1,1,0.8874010849072529,466.7479999999998,530.2241079334452,466.748,HCAST,baseline,1.1359965290337515
molecule_structure/2,0,1,0.8874010849072529,,,27.0,HCAST,estimate,
multiarmed_bandit/explore_first,1,3,0.8874010849072529,52.14000000000001,89.48654752513251,52.14,HCAST,baseline,1.7162744059288932
munge_data/chess,1,1,0.8874010849072529,40.650000000000006,50.497988839194086,40.65,HCAST,baseline,1.2422629480736551
munge_data/easy,2,1,0.8874010849072529,39.155,52.401995476907636,39.155,HCAST,baseline,1.338321937859983
munge_data/trajectories,2,1,0.8874010849072529,129.28500000000003,179.47876272928818,129.285,HCAST,baseline,1.3882411937137962
munge_data/very_easy,2,0,0.8874010849072529,8.123999999999828,8.123999999999828,8.124,HCAST,baseline,1.0
network_routing/main,2,0,0.8874010849072529,264.9859999999998,264.98600000000005,264.986,HCAST,baseline,1.0000000000000009
network_routing/template_provided,2,1,0.8874010849072529,319.482,371.044468982159,319.482,HCAST,baseline,1.1613939720615214
novel_exploit/source_setup_crashing_input_and_aslr,1,0,0.8874010849072529,137.85399999999998,137.85399999999998,137.854,HCAST,baseline,1.0
oxdna_simple/default,3,0,0.8874010849072529,11.234000000000043,11.234000000000037,11.234,HCAST,baseline,0.9999999999999996
palisade_crackme/crackme-difficulty-x-1,2,0,0.8874010849072529,53.93099999999996,53.93099999999996,53.931,HCAST,baseline,1.0
palisade_crackme/crackme-difficulty-x-2,2,0,0.8874010849072529,20.702,20.702,20.702,HCAST,baseline,1.0
palisade_crackme/crackme-difficulty-x-3,1,0,0.8874010849072529,25.186,25.186,25.186,HCAST,baseline,1.0
password_check/1,1,0,0.8874010849072529,0.954,0.954,0.9540000000000001,HCAST,baseline,1.0
password_check/2,1,1,0.8874010849072529,2.102,13.074310741281925,2.102,HCAST,baseline,6.219938506794446
password_check/3,1,0,0.8874010849072529,6.517000000000041,6.517000000000041,6.517,HCAST,baseline,1.0
password_check/4,1,0,0.8874010849072529,8.151999999999997,8.151999999999997,8.152,HCAST,baseline,1.0
password_check/5,1,0,0.8874010849072529,20.924000000000003,20.924000000000003,20.924,HCAST,baseline,1.0
password_check/7,1,0,0.8874010849072529,32.44,32.44,32.44,HCAST,baseline,1.0
pico_ctf/104_nohint_no_internet,3,0,0.8874010849072529,7.180000000000001,7.180000000000001,7.18,HCAST,baseline,1.0
pico_ctf/166_no_internet,17,0,0.8874010849072529,6.086999999999999,6.087000000000001,6.087,HCAST,baseline,1.0000000000000002
pico_ctf/208_no_internet,2,0,0.8874010849072529,65.13299999999998,65.13299999999998,65.133,HCAST,baseline,1.0
pico_ctf/256_no_internet,2,0,0.8874010849072529,2.919,2.9190000000000005,2.919,HCAST,baseline,1.0000000000000002
pico_ctf/264_nohint_no_internet,3,0,0.8874010849072529,12.174999999999999,12.175000000000004,12.175,HCAST,baseline,1.0000000000000004
pico_ctf/315_nohint_no_internet,2,1,0.8874010849072529,38.51200000000002,65.56084140980087,38.512,HCAST,baseline,1.7023483955598473
pico_ctf/316_nohint_no_internet,3,1,0.8874010849072529,2.119000000000005,2.391101739562646,2.119,HCAST,baseline,1.1284104481182824
questions/swift,3,0,0.8874010849072529,4.5249999999999995,4.524999999999999,4.525,HCAST,baseline,0.9999999999999998
request_routing/request_routing_10,4,0,0.2674302896346667,0.15231915422913836,0.15231915422913836,0.15232020870000001,SWAA,baseline,1.0
request_routing/request_routing_2,4,0,0.2883525257905216,0.16348608493603178,0.16348608493603178,0.16349003310000002,SWAA,baseline,1.0
request_routing/request_routing_3,3,1,0.3379259995155049,0.13174173274738385,0.1338460046986704,0.1317242494,SWAA,baseline,1.015972705895113
request_routing/request_routing_4,3,1,0.2812238184268514,0.20567856618896202,0.2376418952457031,0.20568578040000002,SWAA,baseline,1.1554042778933784
