metr,metr+x_param,x_param_only
193.8846682,178.6477909,202.5155793
223.6812646,220.2490485,198.9315496
185.1412235,183.3749324,196.6034122
201.0178056,203.5046961,205.5706204
187.083126,180.8622213,197.8870981
182.7337418,179.7117115,196.2011166
188.1964486,184.090704,203.5127464
203.7670868,199.8377203,199.8871775
195.3385623,194.1660032,202.5987671
206.8478337,203.6028224,197.1594352
217.6508388,208.5799684,195.3108452
194.2989325,199.3091514,197.438459
187.8052888,183.2277739,199.0763643
176.6908694,166.9261507,197.5365873
211.2680429,206.4334084,194.1504437
199.2769253,192.4307446,194.3872461
189.6755624,180.8757898,198.1020756
204.9189795,197.150374,198.7358298
191.5325333,186.583864,202.7841541
194.7352937,185.7609293,199.0425445
190.3283429,186.1426644,196.8500706
214.1864969,212.4138936,195.5919995
215.4546777,218.844512,196.5120879
202.8880368,202.2581486,197.9610535
201.7080665,198.2614575,199.3453014
193.9205604,181.8144301,197.7935699
212.7487068,211.7820835,198.6958686
202.0588602,196.234693,202.3015031
183.2449729,182.5241309,196.9322567
199.1488552,203.3864506,199.9028036
195.5355196,189.4797206,198.9580586
226.9223445,217.3593227,198.5483809
190.1497645,190.9644175,197.0640967
171.9745056,175.2846868,192.287538
203.8490325,201.4549467,196.9397181
193.4743628,188.3897983,199.5903834
202.2982475,196.5923815,198.733575
205.2838045,205.2305251,200.2717398
184.3694559,184.2610554,200.752592
209.0497627,205.4738584,198.6909111
191.0256717,186.0559508,199.0577675
216.0676214,210.9919904,201.0782666
193.4321076,187.1710984,201.6477348
189.1216131,179.5009689,201.321128
136.4693541,107.7849822,197.3881139
213.8601859,211.5715959,198.3359866
199.8203214,191.6807961,200.2242519
204.2679258,196.9512499,200.2157995
213.8532331,208.3193156,198.9883939
203.7695799,187.5375463,201.1395557
194.6883953,193.5751356,199.8088735
208.8181551,207.2702766,200.8153798
201.4993303,199.2879206,197.1103997
195.8384846,193.507025,199.4950104
202.6353895,196.7700935,199.6287903
200.5588232,200.3870635,199.4173557
196.8308199,192.4875644,195.5511212
192.9636155,191.5308336,194.7759459
177.5259742,173.1482989,195.1222001
202.5547313,200.5704935,200.9971896
198.9277951,187.7835154,199.2751341
234.2174431,229.3571028,199.0887297
189.9109866,200.161905,196.2528829
203.9161255,203.1987109,197.9157264
177.3584123,174.7322212,196.4025339
201.8070552,196.9374109,198.7529895
197.1272602,196.9513353,203.0274659
196.2205937,195.6864184,194.1450952
227.6123685,224.654024,197.2438125
199.3157346,196.6862676,197.8535161
179.5138934,176.6872021,196.8683872
201.475671,192.5446091,197.6598661
200.2858388,196.406105,195.2336092
181.9431877,191.3045808,196.0546247
189.4766397,175.2839714,199.0065122
222.1858456,218.4142709,196.0165158
208.6622383,206.4210051,195.716743
194.2904736,196.121772,198.6711464
208.5153868,204.4496019,201.6190915
208.8247532,209.1774788,201.4371078
199.6043148,197.166523,196.0671184
210.0835475,212.6641477,196.675966
205.6567934,208.4421937,197.2175551
199.8398858,197.5377022,198.5226908
181.0313333,177.6503216,197.360831
191.7620315,194.5949582,196.0743339
195.7686127,189.1540482,199.0301218
188.7293224,186.6589991,195.0661338
198.0521646,195.331928,197.7683785
191.9784671,193.4811233,201.7218515
184.3878575,177.5128875,200.4301194
193.4960458,194.5434278,196.6786319
200.6918152,201.5953058,196.5258649
192.4198506,198.8464086,195.6911553
190.4548378,184.7078921,197.7954871
201.0843805,205.3074307,193.7084212
202.3441231,199.9911313,203.0158599
177.5678113,176.6687082,202.1084292
207.4409159,198.4153253,199.5585796
204.5104848,198.297438,201.8567503
197.4706151,193.2185335,205.7784835
207.9362295,213.1438816,199.2101198
207.5143029,206.0245509,198.1234466
200.7706564,195.5695128,195.9743431
189.3602114,176.6447458,199.3022926
214.202405,208.8365131,197.5874359
182.5460746,180.3755067,202.8592442
199.5474348,211.862827,201.5853343
210.4521631,205.4186841,198.6129483
191.6080846,193.3650053,197.4318003
209.5828543,213.6652802,196.0386136
177.4337822,170.8749767,197.4328558
192.6078548,193.3956703,198.7905234
203.8569962,204.5802185,203.9267034
188.5297297,178.3417489,201.737177
235.3642117,225.430003,198.9570345
205.7609406,203.1300249,198.586428
205.1083073,203.6370447,199.6420058
212.6806733,214.3784647,199.9496247
202.0808942,202.7249935,198.2657538
212.2998264,207.5641185,201.4411853
221.1403214,232.1882989,197.4441794
205.3581688,201.1429825,196.4050231
203.310204,197.6232936,200.7199713
210.1867638,210.5553304,201.7226352
207.3786191,202.0035792,194.1812788
220.4805448,220.4751277,203.7153591
201.1801543,195.8205644,200.9613057
212.3463914,212.9146242,200.2786825
197.9699357,183.651325,195.5425266
195.1391605,186.9910832,196.5156202
176.2181675,177.5289921,192.5212183
206.5967895,200.9797597,193.030909
206.985982,203.3215364,199.4269142
175.8308251,174.7881592,196.471451
197.8581288,200.986489,195.979833
196.784843,195.2968944,198.9985237
182.6541469,176.4045628,205.671591
187.8196268,176.3744928,200.5005996
212.9652506,207.5380186,202.4086004
