noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,2,Grok 4,p50,6.858463635
per_task,2,Kimi K2 Thinking,p50,5.767079075
per_task,2,Qwen2-72B,p50,1.006689444
per_task,2,Qwen2.5-72B,p50,2.157070244
per_task,2,davinci-002 (GPT-3),p50,-2.81311212
per_task,2,gpt-3.5-turbo-instruct,p50,-0.9049508476
per_task,2,gpt-oss-120b,p50,5.393596675
per_task,2,human,p50,7.080727861
per_task,2,o1,p50,5.256680015
per_task,2,o1-preview,p50,4.269273177
per_task,2,o3,p50,6.553046954
per_task,2,o4-mini,p50,6.289538038
per_task,2,Claude 3 Opus,p80,-0.07935113673
per_task,2,Claude 3.5 Sonnet (New),p80,1.752465308
per_task,2,Claude 3.5 Sonnet (Old),p80,1.244238992
per_task,2,Claude 3.7 Sonnet,p80,3.636899272
per_task,2,Claude 4 Opus,p80,4.042104303
per_task,2,Claude 4 Sonnet,p80,3.739491886
per_task,2,Claude 4.1 Opus,p80,4.089807386
per_task,2,Claude Opus 4.5,p80,4.69793707
per_task,2,Claude Sonnet 4.5,p80,4.024508753
per_task,2,DeepSeek-R1,p80,1.679077441
per_task,2,DeepSeek-R1-0528,p80,1.463358707
per_task,2,DeepSeek-V3,p80,1.569528645
per_task,2,DeepSeek-V3-0324,p80,2.036110619
per_task,2,GPT-2,p80,-6.390162848
per_task,2,GPT-4 0125,p80,0.09975668127
per_task,2,GPT-4 0314,p80,-0.2667009771
per_task,2,GPT-4 1106,p80,0.2331490565
per_task,2,GPT-4 Turbo,p80,0.4247903921
per_task,2,GPT-4o,p80,0.4334784162
per_task,2,GPT-5,p80,4.382980462
per_task,2,GPT-5.1-Codex-Max,p80,4.678402645
per_task,2,Gemini 2.5 Pro Preview,p80,2.85109305
per_task,2,Grok 4,p80,3.533679619
per_task,2,Kimi K2 Thinking,p80,3.140587211
per_task,2,Qwen2-72B,p80,-1.280422811
per_task,2,Qwen2.5-72B,p80,-0.3123103052
per_task,2,davinci-002 (GPT-3),p80,-4.229432083
per_task,2,gpt-3.5-turbo-instruct,p80,-2.156245392
per_task,2,gpt-oss-120b,p80,2.29645487
per_task,2,human,p80,2.632395574
per_task,2,o1,p80,2.157733166
per_task,2,o1-preview,p80,1.827656255
per_task,2,o3,p80,4.07683775
per_task,2,o4-mini,p80,3.631988045
metr_global,0,Claude 3 Opus,p50,2.837620762
metr_global,0,Claude 3.5 Sonnet (New),p50,4.928586131
metr_global,0,Claude 3.5 Sonnet (Old),p50,4.304846925
metr_global,0,Claude 3.7 Sonnet,p50,5.788123057
metr_global,0,Claude 4 Opus,p50,6.384875138
metr_global,0,Claude 4 Sonnet,p50,6.202823858
metr_global,0,Claude 4.1 Opus,p50,6.771661627
