Claude 3 Opus (Inspect)@p50,Claude 3.5 Sonnet (New) (Inspect)@p50,Claude 3.5 Sonnet (Old) (Inspect)@p50,Claude 3.7 Sonnet (Inspect)@p50,Claude 4 Opus (Inspect)@p50,Claude 4.1 Opus (Inspect)@p50,Claude Opus 4.5 (Inspect)@p50,Claude Opus 4.6 (Inspect)@p50,GPT-4 0314@p50,GPT-4 1106 (Inspect)@p50,GPT-4 Turbo (Inspect)@p50,GPT-4o (Inspect)@p50,GPT-5 (Inspect)@p50,GPT-5.1-Codex-Max (Inspect)@p50,GPT-5.2@p50,GPT-5.3-Codex@p50,Gemini 3 Pro@p50,human@p50,o1 (Inspect)@p50,o1-preview@p50,o3 (Inspect)@p50,Claude 3 Opus (Inspect)@p80,Claude 3.5 Sonnet (New) (Inspect)@p80,Claude 3.5 Sonnet (Old) (Inspect)@p80,Claude 3.7 Sonnet (Inspect)@p80,Claude 4 Opus (Inspect)@p80,Claude 4.1 Opus (Inspect)@p80,Claude Opus 4.5 (Inspect)@p80,Claude Opus 4.6 (Inspect)@p80,GPT-4 0314@p80,GPT-4 1106 (Inspect)@p80,GPT-4 Turbo (Inspect)@p80,GPT-4o (Inspect)@p80,GPT-5 (Inspect)@p80,GPT-5.1-Codex-Max (Inspect)@p80,GPT-5.2@p80,GPT-5.3-Codex@p80,Gemini 3 Pro@p80,human@p80,o1 (Inspect)@p80,o1-preview@p80,o3 (Inspect)@p80
3.388852791,18.17066991,9.730550257,56.29632396,97.15631388,95.83182343,341.1075506,1022.009128,3.389974045,3.589945611,3.319096147,6.049213911,213.2554444,237.8686338,441.4362733,406.8524902,247.3085794,115.6967981,35.30281434,18.22784347,115.4856181,0.4623521977,1.730459527,1.023111733,7.720582559,14.18915424,16.594124,36.79901317,59.91433335,0.6695017908,0.629560501,0.757970848,0.9094631488,28.72942265,36.47940433,48.15983628,43.90705304,35.22045605,10.93977196,4.630442524,3.066190281,20.51707688
2.978173295,18.2595912,9.878535445,58.58752721,103.4231825,102.3623347,355.2666437,1132.146395,3.126973767,2.99001999,2.832565033,5.463274087,241.2321602,260.288645,504.8081044,491.5516392,250.2952053,123.1050069,35.63033044,17.90715432,125.2751227,0.3604534514,1.702090173,1.212466739,8.851188443,14.31307226,16.66484825,42.55093436,64.77174631,0.5486245743,0.4276344091,0.582465478,0.7327925297,27.64025228,39.10225146,49.90010003,42.40373555,45.92465785,9.549824515,4.223580636,2.77415868,19.7943511
3.507068618,18.35567388,10.36326831,60.33724584,109.5011596,106.4083338,489.2179103,1629.794702,3.587279102,3.801721987,3.352571816,6.14645216,284.5398138,303.7136429,681.5745287,621.1107405,328.5984988,114.3458621,37.04424273,18.00052022,133.7359841,0.4918869209,1.408743599,1.241994297,7.516679481,12.7673453,15.70149071,32.95806986,63.03671543,0.7272823789,0.7307111979,0.7692536822,0.9240665579,23.5094448,33.84740995,43.91879956,39.26073689,31.05151571,8.926981589,4.57973633,2.834484996,17.30775817
3.27411459,17.64870266,9.66519391,54.7967775,93.01432964,92.29170881,301.8487392,1112.194535,3.316122422,3.34044842,3.175181019,5.740972323,199.6332962,218.3781197,387.6684675,404.2997567,224.6787291,128.4986963,34.86677048,18.40943861,110.0556962,0.4606004888,1.781838884,1.164903617,9.675372675,16.7425923,19.37883079,41.85598547,55.16301784,0.657538956,0.5648701382,0.7447840696,0.8533011905,31.74795468,42.89173619,53.21479371,41.85062438,41.71837224,8.164408906,5.713221714,3.69225179,25.88798943
3.458624739,18.63164092,10.08712135,60.68774411,105.8486581,104.7338892,383.5605223,1203.66846,3.34416992,3.50944341,3.196338004,6.113954088,235.9659979,265.7450923,513.575658,552.2984389,269.447269,130.1220419,37.5913015,19.11666721,126.4250989,0.4796585116,1.5684945,1.075564263,9.427803209,16.05547482,18.62017826,40.92234364,65.87281897,0.6022319697,0.5829724797,0.6880878691,0.9048101041,32.55043914,41.07669513,52.20785323,40.10564432,41.91816958,11.67068914,5.026062122,3.156305776,23.81963969
3.192429369,18.72976021,10.07264006,58.34569663,103.2305371,102.7046207,397.4340144,1038.267686,3.40920392,3.285841692,3.063061449,5.903040078,239.194129,258.3782988,503.0639095,453.8771968,263.0337387,122.5743229,36.04829675,18.62579991,124.2014837,0.4203724567,1.937178227,1.316373784,8.231443759,14.94154702,16.28320785,36.76699412,68.02920243,0.7074327245,0.5333157507,0.6711590038,0.915597654,29.03242904,41.5986831,50.95641853,47.32385368,41.92436612,8.648179516,4.938604643,3.607564231,22.03345227
3.963268047,22.35740889,12.09557666,66.79833567,114.0427738,113.6519962,364.4451755,870.2687891,3.851240978,4.207197389,3.674595544,7.308875971,245.447505,266.050391,435.3095964,447.0426051,273.3682702,126.8247273,42.35355547,20.83968382,135.1739897,0.5639179801,2.594785398,1.564830765,10.81776752,18.90424848,20.60376587,50.39764962,82.44386823,0.7765296301,0.7726939027,0.7937676966,1.224125806,36.61566216,50.38320829,70.5487852,56.17095467,49.30023665,14.0454352,6.629113065,3.85854574,29.09880738
3.241970493,20.16541277,10.66207856,63.29138774,110.4809122,109.9669902,422.3854879,1362.444859,3.498126975,3.274044612,3.012108633,6.041374281,246.3042792,268.8211285,475.1953072,511.0199996,284.6955643,110.4320726,39.42000061,20.07152925,131.3808961,0.3946634074,2.093204771,1.334985037,10.37313907,17.32095882,18.91280591,40.50424787,67.22527536,0.6635046225,0.4737746013,0.5829848258,0.8453076267,34.9851431,48.30425931,64.50228689,48.50817836,43.94004518,11.26203178,5.956287213,3.830267163,27.51481333
3.297275712,18.14949806,10.08423225,58.16705279,105.4991684,103.4715521,431.4768118,1743.172122,3.455868453,3.292009097,3.006849708,6.082031641,253.6106599,290.7002632,572.7483046,516.1268022,281.9099405,118.3763547,36.07450806,18.63415303,126.7249822,0.4527718836,1.631984756,1.251834159,8.137833239,11.82347124,13.79418094,33.5037879,56.0018249,0.6617770689,0.5231587014,0.6225112956,0.9750949346,25.15021486,31.41463359,45.43750335,41.54342624,34.90971049,9.257944256,4.790068265,3.236277038,17.41659187
4.01134442,21.43191091,11.34550131,60.29659978,101.8949202,100.7799113,342.3125473,1065.900118,4.112828333,4.311060091,3.874682388,7.043457983,239.2345519,260.354372,461.2752117,431.404249,252.6198713,129.3154889,38.68551385,20.68204349,120.8603114,0.6159161007,2.788269274,1.419419233,10.18922114,17.49368273,19.66811415,43.40507844,65.34924935,0.888701576,0.8611980324,0.9345452851,1.188873197,27.66699229,37.16566267,53.183655,47.7717574,41.58108855,10.55609212,6.166561541,4.112294941,24.1940746
