noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),2.0,Claude 3 Opus,p50,2.4656405173598164
per_task (b),2.0,Claude 3.5 Sonnet (New),p50,4.739249555592395
per_task (b),2.0,Claude 3.5 Sonnet (Old),p50,4.031020706959739
per_task (b),2.0,Claude 3.7 Sonnet,p50,5.7270675870721695
per_task (b),2.0,Claude 4 Opus,p50,6.3929721911581625
per_task (b),2.0,Claude 4 Sonnet,p50,6.185996582207591
per_task (b),2.0,Claude 4.1 Opus,p50,6.890541020521423
per_task (b),2.0,Claude Opus 4.5,p50,8.498476355287622
per_task (b),2.0,Claude Sonnet 4.5,p50,7.026661724534229
per_task (b),2.0,DeepSeek-R1,p50,4.591345421397104
per_task (b),2.0,DeepSeek-R1-0528,p50,4.88959707023264
per_task (b),2.0,DeepSeek-V3,p50,4.007677502422184
per_task (b),2.0,DeepSeek-V3-0324,p50,4.356124274287999
per_task (b),2.0,GPT-2,p50,-4.283279968961231
per_task (b),2.0,GPT-4 0125,p50,2.216309647024248
per_task (b),2.0,GPT-4 0314,p50,2.2108548312400775
per_task (b),2.0,GPT-4 1106,p50,2.8751742035739833
per_task (b),2.0,GPT-4 Turbo,p50,2.5024302150127533
per_task (b),2.0,GPT-4o,p50,2.9785719655317626
per_task (b),2.0,GPT-5,p50,7.218710781389619
per_task (b),2.0,GPT-5.1-Codex-Max,p50,7.616987611760368
per_task (b),2.0,Gemini 2.5 Pro Preview,p50,5.172988811313075
per_task (b),2.0,Grok 4,p50,6.858463634675627
per_task (b),2.0,Kimi K2 Thinking,p50,5.767079075408444
per_task (b),2.0,Qwen2-72B,p50,1.0066894438484097
per_task (b),2.0,Qwen2.5-72B,p50,2.157070243704688
per_task (b),2.0,davinci-002 (GPT-3),p50,-2.813112120206414
per_task (b),2.0,gpt-3.5-turbo-instruct,p50,-0.9049508476127514
per_task (b),2.0,gpt-oss-120b,p50,5.3935966746561546
per_task (b),2.0,human,p50,7.080727860846531
per_task (b),2.0,o1,p50,5.256680014685181
per_task (b),2.0,o1-preview,p50,4.2692731768149805
per_task (b),2.0,o3,p50,6.553046954108171
per_task (b),2.0,o4-mini,p50,6.289538037600957
per_task (b),2.0,Claude 3 Opus,p80,-0.07935113673159493
per_task (b),2.0,Claude 3.5 Sonnet (New),p80,1.752465308303627
per_task (b),2.0,Claude 3.5 Sonnet (Old),p80,1.2442389921854606
per_task (b),2.0,Claude 3.7 Sonnet,p80,3.6368992717535753
per_task (b),2.0,Claude 4 Opus,p80,4.042104303062231
per_task (b),2.0,Claude 4 Sonnet,p80,3.739491885969191
per_task (b),2.0,Claude 4.1 Opus,p80,4.089807385568865
per_task (b),2.0,Claude Opus 4.5,p80,4.697937069962867
per_task (b),2.0,Claude Sonnet 4.5,p80,4.024508753285016
per_task (b),2.0,DeepSeek-R1,p80,1.679077441152133
per_task (b),2.0,DeepSeek-R1-0528,p80,1.4633587073978074
per_task (b),2.0,DeepSeek-V3,p80,1.5695286452740778
per_task (b),2.0,DeepSeek-V3-0324,p80,2.036110619363227
per_task (b),2.0,GPT-2,p80,-6.390162848391566
per_task (b),2.0,GPT-4 0125,p80,0.09975668126614057
per_task (b),2.0,GPT-4 0314,p80,-0.2667009770933085
per_task (b),2.0,GPT-4 1106,p80,0.23314905646205455
per_task (b),2.0,GPT-4 Turbo,p80,0.4247903921389424
per_task (b),2.0,GPT-4o,p80,0.433478416170809
per_task (b),2.0,GPT-5,p80,4.382980462129608
per_task (b),2.0,GPT-5.1-Codex-Max,p80,4.678402644913248
per_task (b),2.0,Gemini 2.5 Pro Preview,p80,2.8510930499303537
per_task (b),2.0,Grok 4,p80,3.533679619235889
per_task (b),2.0,Kimi K2 Thinking,p80,3.140587211068361
per_task (b),2.0,Qwen2-72B,p80,-1.280422811201234
per_task (b),2.0,Qwen2.5-72B,p80,-0.31231030516108305
per_task (b),2.0,davinci-002 (GPT-3),p80,-4.229432083231741
per_task (b),2.0,gpt-3.5-turbo-instruct,p80,-2.156245392470227
per_task (b),2.0,gpt-oss-120b,p80,2.2964548700689056
per_task (b),2.0,human,p80,2.6323955740327047
per_task (b),2.0,o1,p80,2.157733166212314
per_task (b),2.0,o1-preview,p80,1.827656254863867
per_task (b),2.0,o3,p80,4.076837749580013
per_task (b),2.0,o4-mini,p80,3.6319880448746433
metr_global,0.0,Claude 3 Opus,p50,2.8376207624580343
metr_global,0.0,Claude 3.5 Sonnet (New),p50,4.9285861306746925
metr_global,0.0,Claude 3.5 Sonnet (Old),p50,4.3048469245875625
metr_global,0.0,Claude 3.7 Sonnet,p50,5.788123057065152
metr_global,0.0,Claude 4 Opus,p50,6.384875138304328
metr_global,0.0,Claude 4 Sonnet,p50,6.202823857547168
metr_global,0.0,Claude 4.1 Opus,p50,6.771661627382697
metr_global,0.0,Claude Opus 4.5,p50,7.947092207887639
metr_global,0.0,Claude Sonnet 4.5,p50,6.864537954996427
metr_global,0.0,DeepSeek-R1,p50,4.8015527031539005
metr_global,0.0,DeepSeek-R1-0528,p50,5.034052021469365
metr_global,0.0,DeepSeek-V3,p50,4.309089726889878
metr_global,0.0,DeepSeek-V3-0324,p50,4.620254907756254
metr_global,0.0,GPT-2,p50,-4.216841914084593
metr_global,0.0,GPT-4 0125,p50,2.6660426862715805
metr_global,0.0,GPT-4 0314,p50,2.590749181519172
metr_global,0.0,GPT-4 1106,p50,3.2318218457963184
metr_global,0.0,GPT-4 Turbo,p50,2.95929822908197
metr_global,0.0,GPT-4o,p50,3.3469366410000294
