noise_model,lambda,agent,quantile,mean_log2_horizon
metr_global,1,Claude 4 Opus (Inspect),p80,3.891120089
metr_global,1,Claude 4.1 Opus (Inspect),p80,4.095775572
metr_global,1,Claude Opus 4.5 (Inspect),p80,5.236677537
metr_global,1,Claude Opus 4.6 (Inspect),p80,5.928099727
metr_global,1,GPT-4 0314,p80,-0.5827520058
metr_global,1,GPT-4 1106 (Inspect),p80,-0.7868803482
metr_global,1,GPT-4 Turbo (Inspect),p80,-0.56434902
metr_global,1,GPT-4o (Inspect),p80,-0.1021341253
metr_global,1,GPT-5 (Inspect),p80,4.827297494
metr_global,1,GPT-5.1-Codex-Max (Inspect),p80,5.215440959
metr_global,1,GPT-5.2,p80,5.683923687
metr_global,1,GPT-5.3-Codex,p80,5.421750813
metr_global,1,Gemini 3 Pro,p80,5.292862546
metr_global,1,human,p80,3.289573705
metr_global,1,o1 (Inspect),p80,2.387555976
metr_global,1,o1-preview,p80,1.693481864
metr_global,1,o3 (Inspect),p80,4.446322289
metr_global,1.5,Claude 3 Opus (Inspect),p50,1.708878227
metr_global,1.5,Claude 3.5 Sonnet (New) (Inspect),p50,4.16314929
metr_global,1.5,Claude 3.5 Sonnet (Old) (Inspect),p50,3.282365784
metr_global,1.5,Claude 3.7 Sonnet (Inspect),p50,5.812383633
metr_global,1.5,Claude 4 Opus (Inspect),p50,6.637456238
metr_global,1.5,Claude 4.1 Opus (Inspect),p50,6.615797754
metr_global,1.5,Claude Opus 4.5 (Inspect),p50,8.619465776
metr_global,1.5,Claude Opus 4.6 (Inspect),p50,10.36250378
metr_global,1.5,GPT-4 0314,p50,1.714695529
metr_global,1.5,GPT-4 1106 (Inspect),p50,1.726185169
metr_global,1.5,GPT-4 Turbo (Inspect),p50,1.590734924
metr_global,1.5,GPT-4o (Inspect),p50,2.530377566
metr_global,1.5,GPT-5 (Inspect),p50,7.900375649
metr_global,1.5,GPT-5.1-Codex-Max (Inspect),p50,8.053083572
metr_global,1.5,GPT-5.2,p50,8.9871767
metr_global,1.5,GPT-5.3-Codex,p50,8.970801876
metr_global,1.5,Gemini 3 Pro,p50,8.052532569
metr_global,1.5,human,p50,6.879428113
metr_global,1.5,o1 (Inspect),p50,5.127203813
metr_global,1.5,o1-preview,p50,4.134277646
metr_global,1.5,o3 (Inspect),p50,6.896023133
metr_global,1.5,Claude 3 Opus (Inspect),p80,-1.167665977
metr_global,1.5,Claude 3.5 Sonnet (New) (Inspect),p80,0.7243865725
metr_global,1.5,Claude 3.5 Sonnet (Old) (Inspect),p80,0.1564662304
metr_global,1.5,Claude 3.7 Sonnet (Inspect),p80,2.944687167
metr_global,1.5,Claude 4 Opus (Inspect),p80,3.699334351
metr_global,1.5,Claude 4.1 Opus (Inspect),p80,3.888965052
metr_global,1.5,Claude Opus 4.5 (Inspect),p80,5.093491438
metr_global,1.5,Claude Opus 4.6 (Inspect),p80,5.882220861
metr_global,1.5,GPT-4 0314,p80,-0.7001631434
metr_global,1.5,GPT-4 1106 (Inspect),p80,-0.9062607843
metr_global,1.5,GPT-4 Turbo (Inspect),p80,-0.6827398066
metr_global,1.5,GPT-4o (Inspect),p80,-0.2496220614
metr_global,1.5,GPT-5 (Inspect),p80,4.64635383
metr_global,1.5,GPT-5.1-Codex-Max (Inspect),p80,5.038516008
metr_global,1.5,GPT-5.2,p80,5.547105778
metr_global,1.5,GPT-5.3-Codex,p80,5.292506702
metr_global,1.5,Gemini 3 Pro,p80,5.111534546
metr_global,1.5,human,p80,3.156537669
metr_global,1.5,o1 (Inspect),p80,2.193085336
metr_global,1.5,o1-preview,p80,1.524806478
metr_global,1.5,o3 (Inspect),p80,4.241819931
metr_global,2,Claude 3 Opus (Inspect),p50,1.601246823
metr_global,2,Claude 3.5 Sonnet (New) (Inspect),p50,4.102030611
metr_global,2,Claude 3.5 Sonnet (Old) (Inspect),p50,3.197970688
metr_global,2,Claude 3.7 Sonnet (Inspect),p50,5.793834205
metr_global,2,Claude 4 Opus (Inspect),p50,6.657922262
metr_global,2,Claude 4.1 Opus (Inspect),p50,6.631183598
metr_global,2,Claude Opus 4.5 (Inspect),p50,8.774037513
metr_global,2,Claude Opus 4.6 (Inspect),p50,10.68351579
metr_global,2,GPT-4 0314,p50,1.61607253
metr_global,2,GPT-4 1106 (Inspect),p50,1.621552337
metr_global,2,GPT-4 Turbo (Inspect),p50,1.476448043
metr_global,2,GPT-4o (Inspect),p50,2.433961281
metr_global,2,GPT-5 (Inspect),p50,7.995461717
metr_global,2,GPT-5.1-Codex-Max (Inspect),p50,8.162356208
metr_global,2,GPT-5.2,p50,9.174403796
metr_global,2,GPT-5.3-Codex,p50,9.15008434
metr_global,2,Gemini 3 Pro,p50,8.149478263
metr_global,2,human,p50,6.951637163
metr_global,2,o1 (Inspect),p50,5.085543891
metr_global,2,o1-preview,p50,4.063218823
metr_global,2,o3 (Inspect),p50,6.923307766
metr_global,2,Claude 3 Opus (Inspect),p80,-1.391303753
metr_global,2,Claude 3.5 Sonnet (New) (Inspect),p80,0.4997081591
metr_global,2,Claude 3.5 Sonnet (Old) (Inspect),p80,-0.09251497344
metr_global,2,Claude 3.7 Sonnet (Inspect),p80,2.733106821
metr_global,2,Claude 4 Opus (Inspect),p80,3.487794962
metr_global,2,Claude 4.1 Opus (Inspect),p80,3.678523718
metr_global,2,Claude Opus 4.5 (Inspect),p80,4.948147641
metr_global,2,Claude Opus 4.6 (Inspect),p80,5.799563074
metr_global,2,GPT-4 0314,p80,-0.8916783189
metr_global,2,GPT-4 1106 (Inspect),p80,-1.112789278
metr_global,2,GPT-4 Turbo (Inspect),p80,-0.9026753207
metr_global,2,GPT-4o (Inspect),p80,-0.4640513188
metr_global,2,GPT-5 (Inspect),p80,4.479987964
metr_global,2,GPT-5.1-Codex-Max (Inspect),p80,4.869656891
metr_global,2,GPT-5.2,p80,5.422010305
metr_global,2,GPT-5.3-Codex,p80,5.163845664
metr_global,2,Gemini 3 Pro,p80,4.956667152
metr_global,2,human,p80,2.999499348
metr_global,2,o1 (Inspect),p80,1.967615433
metr_global,2,o1-preview,p80,1.276371408
metr_global,2,o3 (Inspect),p80,4.041413064
